Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QV","Value of Agricultural Production","686","Senegal","152","Gross Production Value (constant 2014-2016 thousand I$)","01312","Bananas","2015","2015","1000 Int$","12979","E","Estimated value"
"QV","Value of Agricultural Production","686","Senegal","152","Gross Production Value (constant 2014-2016 thousand I$)","01312","Bananas","2016","2016","1000 Int$","13157","E","Estimated value"
"QV","Value of Agricultural Production","686","Senegal","152","Gross Production Value (constant 2014-2016 thousand I$)","01312","Bananas","2017","2017","1000 Int$","13157","E","Estimated value"
"QV","Value of Agricultural Production","686","Senegal","152","Gross Production Value (constant 2014-2016 thousand I$)","01312","Bananas","2018","2018","1000 Int$","10668","E","Estimated value"
"QV","Value of Agricultural Production","686","Senegal","152","Gross Production Value (constant 2014-2016 thousand I$)","01312","Bananas","2019","2019","1000 Int$","11173","E","Estimated value"
"QV","Value of Agricultural Production","686","Senegal","152","Gross Production Value (constant 2014-2016 thousand I$)","01312","Bananas","2020","2020","1000 Int$","12979","E","Estimated value"
"QV","Value of Agricultural Production","686","Senegal","152","Gross Production Value (constant 2014-2016 thousand I$)","01312","Bananas","2021","2021","1000 Int$","12624","E","Estimated value"
"QV","Value of Agricultural Production","686","Senegal","152","Gross Production Value (constant 2014-2016 thousand I$)","01312","Bananas","2022","2022","1000 Int$","12801","E","Estimated value"
"QV","Value of Agricultural Production","686","Senegal","152","Gross Production Value (constant 2014-2016 thousand I$)","01312","Bananas","2023","2023","1000 Int$","12852","E","Estimated value"
"QV","Value of Agricultural Production","686","Senegal","56","Gross Production Value (current thousand SLC)","01312","Bananas","2014","2014","1000 SLC","13447350","A","Official figure"
"QV","Value of Agricultural Production","686","Senegal","56","Gross Production Value (current thousand SLC)","01312","Bananas","2017","2017","1000 SLC","17126597","A","Official figure"
"QV","Value of Agricultural Production","686","Senegal","56","Gross Production Value (current thousand SLC)","01312","Bananas","2018","2018","1000 SLC","13886430","A","Official figure"
"QV","Value of Agricultural Production","686","Senegal","56","Gross Production Value (current thousand SLC)","01312","Bananas","2019","2019","1000 SLC","14542102","A","Official figure"
"QV","Value of Agricultural Production","686","Senegal","55","Gross Production Value (constant 2014-2016 thousand SLC)","01312","Bananas","1961","1961","1000 SLC","984429","E","Estimated value"
"QV","Value of Agricultural Production","686","Senegal","55","Gross Production Value (constant 2014-2016 thousand SLC)","01312","Bananas","1962","1962","1000 SLC","1312572","E","Estimated value"
"QV","Value of Agricultural Production","686","Senegal","55","Gross Production Value (constant 2014-2016 thousand SLC)","01312","Bananas","1963","1963","1000 SLC","1312572","E","Estimated value"
"QV","Value of Agricultural Production","686","Senegal","55","Gross Production Value (constant 2014-2016 thousand SLC)","01312","Bananas","1964","1964","1000 SLC","1312572","E","Estimated value"
"QV","Value of Agricultural Production","686","Senegal","55","Gross Production Value (constant 2014-2016 thousand SLC)","01312","Bananas","1965","1965","1000 SLC","748822","E","Estimated value"
"QV","Value of Agricultural Production","686","Senegal","55","Gross Production Value (constant 2014-2016 thousand SLC)","01312","Bananas","1966","1966","1000 SLC","632988","E","Estimated value"
"QV","Value of Agricultural Production","686","Senegal","55","Gross Production Value (constant 2014-2016 thousand SLC)","01312","Bananas","1967","1967","1000 SLC","656286","E","Estimated value"
"QV","Value of Agricultural Production","686","Senegal","55","Gross Production Value (constant 2014-2016 thousand SLC)","01312","Bananas","1968","1968","1000 SLC","820358","E","Estimated value"
"QV","Value of Agricultural Production","686","Senegal","55","Gross Production Value (constant 2014-2016 thousand SLC)","01312","Bananas","1969","1969","1000 SLC","1148501","E","Estimated value"
