element,item,year,unit,value,source
Yield/Carcass Weight,"Meat of asses, fresh or chilled",1973,kg/An,60.0,en_crops_livestock_product.csv
Production,"Meat of asses, fresh or chilled",1973,t,1116.0,en_crops_livestock_product.csv
Producing Animals/Slaughtered,"Meat of asses, fresh or chilled",1973,An,18600.0,en_crops_livestock_product.csv
Yield/Carcass Weight,"Meat of asses, fresh or chilled",1974,kg/An,60.0,en_crops_livestock_product.csv
Production,"Meat of asses, fresh or chilled",1974,t,1140.0,en_crops_livestock_product.csv
Producing Animals/Slaughtered,"Meat of asses, fresh or chilled",1974,An,19000.0,en_crops_livestock_product.csv
Yield/Carcass Weight,"Meat of asses, fresh or chilled",1975,kg/An,60.0,en_crops_livestock_product.csv
Production,"Meat of asses, fresh or chilled",1975,t,1176.0,en_crops_livestock_product.csv
Producing Animals/Slaughtered,"Meat of asses, fresh or chilled",1975,An,19600.0,en_crops_livestock_product.csv
Yield/Carcass Weight,"Meat of asses, fresh or chilled",1976,kg/An,60.0,en_crops_livestock_product.csv
Production,"Meat of asses, fresh or chilled",1976,t,1224.0,en_crops_livestock_product.csv
Producing Animals/Slaughtered,"Meat of asses, fresh or chilled",1976,An,20400.0,en_crops_livestock_product.csv
Yield/Carcass Weight,"Meat of asses, fresh or chilled",1977,kg/An,60.0,en_crops_livestock_product.csv
Production,"Meat of asses, fresh or chilled",1977,t,1260.0,en_crops_livestock_product.csv
Producing Animals/Slaughtered,"Meat of asses, fresh or chilled",1977,An,21000.0,en_crops_livestock_product.csv
Yield/Carcass Weight,"Meat of asses, fresh or chilled",1978,kg/An,60.0,en_crops_livestock_product.csv
Production,"Meat of asses, fresh or chilled",1978,t,1380.0,en_crops_livestock_product.csv
Producing Animals/Slaughtered,"Meat of asses, fresh or chilled",1978,An,23000.0,en_crops_livestock_product.csv
Yield/Carcass Weight,"Meat of asses, fresh or chilled",1979,kg/An,60.0,en_crops_livestock_product.csv
Production,"Meat of asses, fresh or chilled",1979,t,1416.0,en_crops_livestock_product.csv
Producing Animals/Slaughtered,"Meat of asses, fresh or chilled",1979,An,23600.0,en_crops_livestock_product.csv
Yield/Carcass Weight,"Meat of asses, fresh or chilled",1980,kg/An,60.0,en_crops_livestock_product.csv
Production,"Meat of asses, fresh or chilled",1980,t,1428.0,en_crops_livestock_product.csv
Producing Animals/Slaughtered,"Meat of asses, fresh or chilled",1980,An,23800.0,en_crops_livestock_product.csv
Yield/Carcass Weight,"Meat of asses, fresh or chilled",1981,kg/An,60.0,en_crops_livestock_product.csv
Production,"Meat of asses, fresh or chilled",1981,t,1218.0,en_crops_livestock_product.csv
Producing Animals/Slaughtered,"Meat of asses, fresh or chilled",1981,An,20300.0,en_crops_livestock_product.csv
Yield/Carcass Weight,"Meat of asses, fresh or chilled",1982,kg/An,60.0,en_crops_livestock_product.csv
Production,"Meat of asses, fresh or chilled",1982,t,1236.0,en_crops_livestock_product.csv
Producing Animals/Slaughtered,"Meat of asses, fresh or chilled",1982,An,20600.0,en_crops_livestock_product.csv
Yield/Carcass Weight,"Meat of asses, fresh or chilled",1983,kg/An,60.0,en_crops_livestock_product.csv
Production,"Meat of asses, fresh or chilled",1983,t,1248.0,en_crops_livestock_product.csv
Producing Animals/Slaughtered,"Meat of asses, fresh or chilled",1983,An,20800.0,en_crops_livestock_product.csv
Yield/Carcass Weight,"Meat of asses, fresh or chilled",1984,kg/An,60.0,en_crops_livestock_product.csv
Production,"Meat of asses, fresh or chilled",1984,t,1254.0,en_crops_livestock_product.csv
Producing Animals/Slaughtered,"Meat of asses, fresh or chilled",1984,An,20900.0,en_crops_livestock_product.csv
Yield/Carcass Weight,"Meat of asses, fresh or chilled",1985,kg/An,60.0,en_crops_livestock_product.csv
Production,"Meat of asses, fresh or chilled",1985,t,1236.0,en_crops_livestock_product.csv
Producing Animals/Slaughtered,"Meat of asses, fresh or chilled",1985,An,20600.0,en_crops_livestock_product.csv
Yield/Carcass Weight,"Meat of asses, fresh or chilled",1986,kg/An,60.0,en_crops_livestock_product.csv
Production,"Meat of asses, fresh or chilled",1986,t,1224.0,en_crops_livestock_product.csv
Producing Animals/Slaughtered,"Meat of asses, fresh or chilled",1986,An,20400.0,en_crops_livestock_product.csv
Yield/Carcass Weight,"Meat of asses, fresh or chilled",1987,kg/An,60.0,en_crops_livestock_product.csv
Production,"Meat of asses, fresh or chilled",1987,t,1200.0,en_crops_livestock_product.csv
Producing Animals/Slaughtered,"Meat of asses, fresh or chilled",1987,An,20000.0,en_crops_livestock_product.csv
Yield/Carcass Weight,"Meat of asses, fresh or chilled",1988,kg/An,60.0,en_crops_livestock_product.csv
Production,"Meat of asses, fresh or chilled",1988,t,1716.0,en_crops_livestock_product.csv
Producing Animals/Slaughtered,"Meat of asses, fresh or chilled",1988,An,28600.0,en_crops_livestock_product.csv
Yield/Carcass Weight,"Meat of asses, fresh or chilled",1989,kg/An,60.0,en_crops_livestock_product.csv
Production,"Meat of asses, fresh or chilled",1989,t,1800.0,en_crops_livestock_product.csv
Producing Animals/Slaughtered,"Meat of asses, fresh or chilled",1989,An,30000.0,en_crops_livestock_product.csv
Yield/Carcass Weight,"Meat of asses, fresh or chilled",1990,kg/An,60.0,en_crops_livestock_product.csv
Production,"Meat of asses, fresh or chilled",1990,t,1860.0,en_crops_livestock_product.csv
Producing Animals/Slaughtered,"Meat of asses, fresh or chilled",1990,An,31000.0,en_crops_livestock_product.csv
Yield/Carcass Weight,"Meat of asses, fresh or chilled",1991,kg/An,60.0,en_crops_livestock_product.csv
Production,"Meat of asses, fresh or chilled",1991,t,1968.0,en_crops_livestock_product.csv
Producing Animals/Slaughtered,"Meat of asses, fresh or chilled",1991,An,32800.0,en_crops_livestock_product.csv
Yield/Carcass Weight,"Meat of asses, fresh or chilled",1992,kg/An,60.0,en_crops_livestock_product.csv
Production,"Meat of asses, fresh or chilled",1992,t,2184.0,en_crops_livestock_product.csv
Producing Animals/Slaughtered,"Meat of asses, fresh or chilled",1992,An,36400.0,en_crops_livestock_product.csv
Yield/Carcass Weight,"Meat of asses, fresh or chilled",1993,kg/An,60.0,en_crops_livestock_product.csv
Production,"Meat of asses, fresh or chilled",1993,t,2196.0,en_crops_livestock_product.csv
Producing Animals/Slaughtered,"Meat of asses, fresh or chilled",1993,An,36600.0,en_crops_livestock_product.csv
Yield/Carcass Weight,"Meat of asses, fresh or chilled",1994,kg/An,60.0,en_crops_livestock_product.csv
Production,"Meat of asses, fresh or chilled",1994,t,2196.0,en_crops_livestock_product.csv
Producing Animals/Slaughtered,"Meat of asses, fresh or chilled",1994,An,36600.0,en_crops_livestock_product.csv
Yield/Carcass Weight,"Meat of asses, fresh or chilled",1995,kg/An,60.0,en_crops_livestock_product.csv
Production,"Meat of asses, fresh or chilled",1995,t,2196.0,en_crops_livestock_product.csv
Producing Animals/Slaughtered,"Meat of asses, fresh or chilled",1995,An,36600.0,en_crops_livestock_product.csv
Yield/Carcass Weight,"Meat of asses, fresh or chilled",1996,kg/An,60.0,en_crops_livestock_product.csv
Production,"Meat of asses, fresh or chilled",1996,t,2202.0,en_crops_livestock_product.csv
Producing Animals/Slaughtered,"Meat of asses, fresh or chilled",1996,An,36700.0,en_crops_livestock_product.csv
Yield/Carcass Weight,"Meat of asses, fresh or chilled",1997,kg/An,60.0,en_crops_livestock_product.csv
Production,"Meat of asses, fresh or chilled",1997,t,2250.0,en_crops_livestock_product.csv
Producing Animals/Slaughtered,"Meat of asses, fresh or chilled",1997,An,37500.0,en_crops_livestock_product.csv
Yield/Carcass Weight,"Meat of asses, fresh or chilled",1998,kg/An,60.0,en_crops_livestock_product.csv
Production,"Meat of asses, fresh or chilled",1998,t,2250.0,en_crops_livestock_product.csv
Producing Animals/Slaughtered,"Meat of asses, fresh or chilled",1998,An,37500.0,en_crops_livestock_product.csv
Yield/Carcass Weight,"Meat of asses, fresh or chilled",1999,kg/An,60.0,en_crops_livestock_product.csv
Production,"Meat of asses, fresh or chilled",1999,t,2262.0,en_crops_livestock_product.csv
Producing Animals/Slaughtered,"Meat of asses, fresh or chilled",1999,An,37700.0,en_crops_livestock_product.csv
Yield/Carcass Weight,"Meat of asses, fresh or chilled",2000,kg/An,60.0,en_crops_livestock_product.csv
Production,"Meat of asses, fresh or chilled",2000,t,2394.0,en_crops_livestock_product.csv
Producing Animals/Slaughtered,"Meat of asses, fresh or chilled",2000,An,39900.0,en_crops_livestock_product.csv
Yield/Carcass Weight,"Meat of asses, fresh or chilled",2001,kg/An,60.0,en_crops_livestock_product.csv
Production,"Meat of asses, fresh or chilled",2001,t,2442.0,en_crops_livestock_product.csv
Producing Animals/Slaughtered,"Meat of asses, fresh or chilled",2001,An,40700.0,en_crops_livestock_product.csv
Yield/Carcass Weight,"Meat of asses, fresh or chilled",2002,kg/An,60.0,en_crops_livestock_product.csv
Production,"Meat of asses, fresh or chilled",2002,t,2400.0,en_crops_livestock_product.csv
Producing Animals/Slaughtered,"Meat of asses, fresh or chilled",2002,An,40000.0,en_crops_livestock_product.csv
Yield/Carcass Weight,"Meat of asses, fresh or chilled",2003,kg/An,60.0,en_crops_livestock_product.csv
Production,"Meat of asses, fresh or chilled",2003,t,2400.0,en_crops_livestock_product.csv
Producing Animals/Slaughtered,"Meat of asses, fresh or chilled",2003,An,40000.0,en_crops_livestock_product.csv
Yield/Carcass Weight,"Meat of asses, fresh or chilled",2004,kg/An,60.0,en_crops_livestock_product.csv
Production,"Meat of asses, fresh or chilled",2004,t,2469.0,en_crops_livestock_product.csv
Producing Animals/Slaughtered,"Meat of asses, fresh or chilled",2004,An,41150.0,en_crops_livestock_product.csv
Yield/Carcass Weight,"Meat of asses, fresh or chilled",2005,kg/An,60.0,en_crops_livestock_product.csv
Production,"Meat of asses, fresh or chilled",2005,t,2496.0,en_crops_livestock_product.csv
Producing Animals/Slaughtered,"Meat of asses, fresh or chilled",2005,An,41600.0,en_crops_livestock_product.csv
Yield/Carcass Weight,"Meat of asses, fresh or chilled",2006,kg/An,60.0,en_crops_livestock_product.csv
Production,"Meat of asses, fresh or chilled",2006,t,2508.0,en_crops_livestock_product.csv
Producing Animals/Slaughtered,"Meat of asses, fresh or chilled",2006,An,41800.0,en_crops_livestock_product.csv
Yield/Carcass Weight,"Meat of asses, fresh or chilled",2007,kg/An,60.0,en_crops_livestock_product.csv
Production,"Meat of asses, fresh or chilled",2007,t,2628.0,en_crops_livestock_product.csv
Producing Animals/Slaughtered,"Meat of asses, fresh or chilled",2007,An,43800.0,en_crops_livestock_product.csv
Yield/Carcass Weight,"Meat of asses, fresh or chilled",2008,kg/An,60.0,en_crops_livestock_product.csv
Production,"Meat of asses, fresh or chilled",2008,t,2652.0,en_crops_livestock_product.csv
Producing Animals/Slaughtered,"Meat of asses, fresh or chilled",2008,An,44200.0,en_crops_livestock_product.csv
Yield/Carcass Weight,"Meat of asses, fresh or chilled",2009,kg/An,60.0,en_crops_livestock_product.csv
Production,"Meat of asses, fresh or chilled",2009,t,2868.0,en_crops_livestock_product.csv
Producing Animals/Slaughtered,"Meat of asses, fresh or chilled",2009,An,47800.0,en_crops_livestock_product.csv
Yield/Carcass Weight,"Meat of asses, fresh or chilled",2010,kg/An,60.0,en_crops_livestock_product.csv
Production,"Meat of asses, fresh or chilled",2010,t,3000.0,en_crops_livestock_product.csv
Producing Animals/Slaughtered,"Meat of asses, fresh or chilled",2010,An,50000.0,en_crops_livestock_product.csv
Yield/Carcass Weight,"Meat of asses, fresh or chilled",2011,kg/An,60.0,en_crops_livestock_product.csv
Production,"Meat of asses, fresh or chilled",2011,t,3120.0,en_crops_livestock_product.csv
Producing Animals/Slaughtered,"Meat of asses, fresh or chilled",2011,An,52000.0,en_crops_livestock_product.csv
Yield/Carcass Weight,"Meat of asses, fresh or chilled",2012,kg/An,60.0,en_crops_livestock_product.csv
Production,"Meat of asses, fresh or chilled",2012,t,3000.0,en_crops_livestock_product.csv
Producing Animals/Slaughtered,"Meat of asses, fresh or chilled",2012,An,50000.0,en_crops_livestock_product.csv
Yield/Carcass Weight,"Meat of asses, fresh or chilled",2013,kg/An,60.0,en_crops_livestock_product.csv
Production,"Meat of asses, fresh or chilled",2013,t,3060.0,en_crops_livestock_product.csv
Producing Animals/Slaughtered,"Meat of asses, fresh or chilled",2013,An,51000.0,en_crops_livestock_product.csv
Yield/Carcass Weight,"Meat of asses, fresh or chilled",2014,kg/An,60.0,en_crops_livestock_product.csv
Production,"Meat of asses, fresh or chilled",2014,t,3063.54,en_crops_livestock_product.csv
Producing Animals/Slaughtered,"Meat of asses, fresh or chilled",2014,An,51059.0,en_crops_livestock_product.csv
Yield/Carcass Weight,"Meat of asses, fresh or chilled",2015,kg/An,60.0,en_crops_livestock_product.csv
Production,"Meat of asses, fresh or chilled",2015,t,3083.66,en_crops_livestock_product.csv
Producing Animals/Slaughtered,"Meat of asses, fresh or chilled",2015,An,51394.0,en_crops_livestock_product.csv
Yield/Carcass Weight,"Meat of asses, fresh or chilled",2016,kg/An,60.0,en_crops_livestock_product.csv
Production,"Meat of asses, fresh or chilled",2016,t,3150.51,en_crops_livestock_product.csv
Producing Animals/Slaughtered,"Meat of asses, fresh or chilled",2016,An,52508.0,en_crops_livestock_product.csv
Yield/Carcass Weight,"Meat of asses, fresh or chilled",2017,kg/An,60.0,en_crops_livestock_product.csv
Production,"Meat of asses, fresh or chilled",2017,t,3195.22,en_crops_livestock_product.csv
Producing Animals/Slaughtered,"Meat of asses, fresh or chilled",2017,An,53254.0,en_crops_livestock_product.csv
Yield/Carcass Weight,"Meat of asses, fresh or chilled",2018,kg/An,60.0,en_crops_livestock_product.csv
Production,"Meat of asses, fresh or chilled",2018,t,3223.67,en_crops_livestock_product.csv
Producing Animals/Slaughtered,"Meat of asses, fresh or chilled",2018,An,53728.0,en_crops_livestock_product.csv
Yield/Carcass Weight,"Meat of asses, fresh or chilled",2019,kg/An,60.0,en_crops_livestock_product.csv
Production,"Meat of asses, fresh or chilled",2019,t,3055.31,en_crops_livestock_product.csv
Producing Animals/Slaughtered,"Meat of asses, fresh or chilled",2019,An,50922.0,en_crops_livestock_product.csv
Yield/Carcass Weight,"Meat of asses, fresh or chilled",2020,kg/An,60.0,en_crops_livestock_product.csv
Production,"Meat of asses, fresh or chilled",2020,t,3103.42,en_crops_livestock_product.csv
Producing Animals/Slaughtered,"Meat of asses, fresh or chilled",2020,An,51724.0,en_crops_livestock_product.csv
Yield/Carcass Weight,"Meat of asses, fresh or chilled",2021,kg/An,60.0,en_crops_livestock_product.csv
Production,"Meat of asses, fresh or chilled",2021,t,3127.27,en_crops_livestock_product.csv
Producing Animals/Slaughtered,"Meat of asses, fresh or chilled",2021,An,52121.0,en_crops_livestock_product.csv
Yield/Carcass Weight,"Meat of asses, fresh or chilled",2022,kg/An,60.0,en_crops_livestock_product.csv
Production,"Meat of asses, fresh or chilled",2022,t,3201.62,en_crops_livestock_product.csv
Producing Animals/Slaughtered,"Meat of asses, fresh or chilled",2022,An,53360.0,en_crops_livestock_product.csv
Yield/Carcass Weight,"Meat of asses, fresh or chilled",2023,kg/An,60.0,en_crops_livestock_product.csv
Production,"Meat of asses, fresh or chilled",2023,t,3236.81,en_crops_livestock_product.csv
Producing Animals/Slaughtered,"Meat of asses, fresh or chilled",2023,An,53947.0,en_crops_livestock_product.csv
Yield/Carcass Weight,"Meat of camels, fresh or chilled",1961,kg/An,150.0,en_crops_livestock_product.csv
Production,"Meat of camels, fresh or chilled",1961,t,6.3,en_crops_livestock_product.csv
Producing Animals/Slaughtered,"Meat of camels, fresh or chilled",1961,An,42.0,en_crops_livestock_product.csv
Yield/Carcass Weight,"Meat of camels, fresh or chilled",1962,kg/An,150.0,en_crops_livestock_product.csv
Production,"Meat of camels, fresh or chilled",1962,t,21.3,en_crops_livestock_product.csv
Producing Animals/Slaughtered,"Meat of camels, fresh or chilled",1962,An,142.0,en_crops_livestock_product.csv
Yield/Carcass Weight,"Meat of camels, fresh or chilled",1963,kg/An,150.0,en_crops_livestock_product.csv
Production,"Meat of camels, fresh or chilled",1963,t,6.0,en_crops_livestock_product.csv
Producing Animals/Slaughtered,"Meat of camels, fresh or chilled",1963,An,40.0,en_crops_livestock_product.csv
Yield/Carcass Weight,"Meat of camels, fresh or chilled",1964,kg/An,150.0,en_crops_livestock_product.csv
Production,"Meat of camels, fresh or chilled",1964,t,60.75,en_crops_livestock_product.csv
Producing Animals/Slaughtered,"Meat of camels, fresh or chilled",1964,An,405.0,en_crops_livestock_product.csv
Yield/Carcass Weight,"Meat of camels, fresh or chilled",1965,kg/An,150.0,en_crops_livestock_product.csv
Production,"Meat of camels, fresh or chilled",1965,t,67.5,en_crops_livestock_product.csv
Producing Animals/Slaughtered,"Meat of camels, fresh or chilled",1965,An,450.0,en_crops_livestock_product.csv
Yield/Carcass Weight,"Meat of camels, fresh or chilled",1966,kg/An,150.0,en_crops_livestock_product.csv
Production,"Meat of camels, fresh or chilled",1966,t,74.25,en_crops_livestock_product.csv
Producing Animals/Slaughtered,"Meat of camels, fresh or chilled",1966,An,495.0,en_crops_livestock_product.csv
Yield/Carcass Weight,"Meat of camels, fresh or chilled",1967,kg/An,150.0,en_crops_livestock_product.csv
Production,"Meat of camels, fresh or chilled",1967,t,24.75,en_crops_livestock_product.csv
Producing Animals/Slaughtered,"Meat of camels, fresh or chilled",1967,An,165.0,en_crops_livestock_product.csv
Yield/Carcass Weight,"Meat of camels, fresh or chilled",1968,kg/An,150.0,en_crops_livestock_product.csv
Production,"Meat of camels, fresh or chilled",1968,t,18.75,en_crops_livestock_product.csv
Producing Animals/Slaughtered,"Meat of camels, fresh or chilled",1968,An,125.0,en_crops_livestock_product.csv
Yield/Carcass Weight,"Meat of camels, fresh or chilled",1969,kg/An,150.0,en_crops_livestock_product.csv
Production,"Meat of camels, fresh or chilled",1969,t,15.3,en_crops_livestock_product.csv
Producing Animals/Slaughtered,"Meat of camels, fresh or chilled",1969,An,102.0,en_crops_livestock_product.csv
Yield/Carcass Weight,"Meat of camels, fresh or chilled",1970,kg/An,150.0,en_crops_livestock_product.csv
Production,"Meat of camels, fresh or chilled",1970,t,15.75,en_crops_livestock_product.csv
Producing Animals/Slaughtered,"Meat of camels, fresh or chilled",1970,An,105.0,en_crops_livestock_product.csv
Yield/Carcass Weight,"Meat of camels, fresh or chilled",1971,kg/An,150.0,en_crops_livestock_product.csv
Production,"Meat of camels, fresh or chilled",1971,t,15.75,en_crops_livestock_product.csv
Producing Animals/Slaughtered,"Meat of camels, fresh or chilled",1971,An,105.0,en_crops_livestock_product.csv
Yield/Carcass Weight,"Meat of camels, fresh or chilled",1972,kg/An,150.0,en_crops_livestock_product.csv
Production,"Meat of camels, fresh or chilled",1972,t,12.0,en_crops_livestock_product.csv
Producing Animals/Slaughtered,"Meat of camels, fresh or chilled",1972,An,80.0,en_crops_livestock_product.csv
Yield/Carcass Weight,"Meat of camels, fresh or chilled",1973,kg/An,150.0,en_crops_livestock_product.csv
Production,"Meat of camels, fresh or chilled",1973,t,12.75,en_crops_livestock_product.csv
Producing Animals/Slaughtered,"Meat of camels, fresh or chilled",1973,An,85.0,en_crops_livestock_product.csv
Yield/Carcass Weight,"Meat of camels, fresh or chilled",1974,kg/An,150.0,en_crops_livestock_product.csv
Production,"Meat of camels, fresh or chilled",1974,t,12.75,en_crops_livestock_product.csv
Producing Animals/Slaughtered,"Meat of camels, fresh or chilled",1974,An,85.0,en_crops_livestock_product.csv
Yield/Carcass Weight,"Meat of camels, fresh or chilled",1975,kg/An,150.0,en_crops_livestock_product.csv
Production,"Meat of camels, fresh or chilled",1975,t,13.5,en_crops_livestock_product.csv
Producing Animals/Slaughtered,"Meat of camels, fresh or chilled",1975,An,90.0,en_crops_livestock_product.csv
Yield/Carcass Weight,"Meat of camels, fresh or chilled",1976,kg/An,150.0,en_crops_livestock_product.csv
Production,"Meat of camels, fresh or chilled",1976,t,13.5,en_crops_livestock_product.csv
Producing Animals/Slaughtered,"Meat of camels, fresh or chilled",1976,An,90.0,en_crops_livestock_product.csv
Yield/Carcass Weight,"Meat of camels, fresh or chilled",1977,kg/An,150.0,en_crops_livestock_product.csv
Production,"Meat of camels, fresh or chilled",1977,t,15.75,en_crops_livestock_product.csv
Producing Animals/Slaughtered,"Meat of camels, fresh or chilled",1977,An,105.0,en_crops_livestock_product.csv
Yield/Carcass Weight,"Meat of camels, fresh or chilled",1978,kg/An,150.0,en_crops_livestock_product.csv
Production,"Meat of camels, fresh or chilled",1978,t,15.75,en_crops_livestock_product.csv
Producing Animals/Slaughtered,"Meat of camels, fresh or chilled",1978,An,105.0,en_crops_livestock_product.csv
Yield/Carcass Weight,"Meat of camels, fresh or chilled",1979,kg/An,150.0,en_crops_livestock_product.csv
Production,"Meat of camels, fresh or chilled",1979,t,13.5,en_crops_livestock_product.csv
Producing Animals/Slaughtered,"Meat of camels, fresh or chilled",1979,An,90.0,en_crops_livestock_product.csv
Yield/Carcass Weight,"Meat of camels, fresh or chilled",1980,kg/An,150.0,en_crops_livestock_product.csv
Production,"Meat of camels, fresh or chilled",1980,t,13.5,en_crops_livestock_product.csv
Producing Animals/Slaughtered,"Meat of camels, fresh or chilled",1980,An,90.0,en_crops_livestock_product.csv
Yield/Carcass Weight,"Meat of camels, fresh or chilled",1981,kg/An,150.0,en_crops_livestock_product.csv
Production,"Meat of camels, fresh or chilled",1981,t,13.5,en_crops_livestock_product.csv
Producing Animals/Slaughtered,"Meat of camels, fresh or chilled",1981,An,90.0,en_crops_livestock_product.csv
Yield/Carcass Weight,"Meat of camels, fresh or chilled",1982,kg/An,150.0,en_crops_livestock_product.csv
Production,"Meat of camels, fresh or chilled",1982,t,14.25,en_crops_livestock_product.csv
Producing Animals/Slaughtered,"Meat of camels, fresh or chilled",1982,An,95.0,en_crops_livestock_product.csv
Yield/Carcass Weight,"Meat of camels, fresh or chilled",1983,kg/An,150.0,en_crops_livestock_product.csv
Production,"Meat of camels, fresh or chilled",1983,t,14.25,en_crops_livestock_product.csv
Producing Animals/Slaughtered,"Meat of camels, fresh or chilled",1983,An,95.0,en_crops_livestock_product.csv
Yield/Carcass Weight,"Meat of camels, fresh or chilled",1984,kg/An,150.0,en_crops_livestock_product.csv
Production,"Meat of camels, fresh or chilled",1984,t,13.5,en_crops_livestock_product.csv
Producing Animals/Slaughtered,"Meat of camels, fresh or chilled",1984,An,90.0,en_crops_livestock_product.csv
Yield/Carcass Weight,"Meat of camels, fresh or chilled",1985,kg/An,150.0,en_crops_livestock_product.csv
Production,"Meat of camels, fresh or chilled",1985,t,13.5,en_crops_livestock_product.csv
Producing Animals/Slaughtered,"Meat of camels, fresh or chilled",1985,An,90.0,en_crops_livestock_product.csv
Yield/Carcass Weight,"Meat of camels, fresh or chilled",1986,kg/An,150.0,en_crops_livestock_product.csv
Production,"Meat of camels, fresh or chilled",1986,t,15.75,en_crops_livestock_product.csv
Producing Animals/Slaughtered,"Meat of camels, fresh or chilled",1986,An,105.0,en_crops_livestock_product.csv
Yield/Carcass Weight,"Meat of camels, fresh or chilled",1987,kg/An,150.0,en_crops_livestock_product.csv
Production,"Meat of camels, fresh or chilled",1987,t,15.75,en_crops_livestock_product.csv
Producing Animals/Slaughtered,"Meat of camels, fresh or chilled",1987,An,105.0,en_crops_livestock_product.csv
Yield/Carcass Weight,"Meat of camels, fresh or chilled",1988,kg/An,150.0,en_crops_livestock_product.csv
Production,"Meat of camels, fresh or chilled",1988,t,33.75,en_crops_livestock_product.csv
Producing Animals/Slaughtered,"Meat of camels, fresh or chilled",1988,An,225.0,en_crops_livestock_product.csv
Yield/Carcass Weight,"Meat of camels, fresh or chilled",1989,kg/An,150.0,en_crops_livestock_product.csv
Production,"Meat of camels, fresh or chilled",1989,t,15.75,en_crops_livestock_product.csv
Producing Animals/Slaughtered,"Meat of camels, fresh or chilled",1989,An,105.0,en_crops_livestock_product.csv
Yield/Carcass Weight,"Meat of camels, fresh or chilled",1990,kg/An,150.0,en_crops_livestock_product.csv
Production,"Meat of camels, fresh or chilled",1990,t,11.25,en_crops_livestock_product.csv
Producing Animals/Slaughtered,"Meat of camels, fresh or chilled",1990,An,75.0,en_crops_livestock_product.csv
Yield/Carcass Weight,"Meat of camels, fresh or chilled",1991,kg/An,150.0,en_crops_livestock_product.csv
Production,"Meat of camels, fresh or chilled",1991,t,11.25,en_crops_livestock_product.csv
Producing Animals/Slaughtered,"Meat of camels, fresh or chilled",1991,An,75.0,en_crops_livestock_product.csv
Yield/Carcass Weight,"Meat of camels, fresh or chilled",1992,kg/An,150.0,en_crops_livestock_product.csv
Production,"Meat of camels, fresh or chilled",1992,t,11.25,en_crops_livestock_product.csv
Producing Animals/Slaughtered,"Meat of camels, fresh or chilled",1992,An,75.0,en_crops_livestock_product.csv
Yield/Carcass Weight,"Meat of camels, fresh or chilled",1993,kg/An,150.0,en_crops_livestock_product.csv
Production,"Meat of camels, fresh or chilled",1993,t,11.25,en_crops_livestock_product.csv
Producing Animals/Slaughtered,"Meat of camels, fresh or chilled",1993,An,75.0,en_crops_livestock_product.csv
Yield/Carcass Weight,"Meat of camels, fresh or chilled",1994,kg/An,150.0,en_crops_livestock_product.csv
Production,"Meat of camels, fresh or chilled",1994,t,11.25,en_crops_livestock_product.csv
Producing Animals/Slaughtered,"Meat of camels, fresh or chilled",1994,An,75.0,en_crops_livestock_product.csv
Yield/Carcass Weight,"Meat of camels, fresh or chilled",1995,kg/An,150.0,en_crops_livestock_product.csv
Production,"Meat of camels, fresh or chilled",1995,t,11.25,en_crops_livestock_product.csv
Producing Animals/Slaughtered,"Meat of camels, fresh or chilled",1995,An,75.0,en_crops_livestock_product.csv
Yield/Carcass Weight,"Meat of camels, fresh or chilled",1996,kg/An,150.0,en_crops_livestock_product.csv
Production,"Meat of camels, fresh or chilled",1996,t,11.25,en_crops_livestock_product.csv
Producing Animals/Slaughtered,"Meat of camels, fresh or chilled",1996,An,75.0,en_crops_livestock_product.csv
Yield/Carcass Weight,"Meat of camels, fresh or chilled",1997,kg/An,150.0,en_crops_livestock_product.csv
Production,"Meat of camels, fresh or chilled",1997,t,9.0,en_crops_livestock_product.csv
Producing Animals/Slaughtered,"Meat of camels, fresh or chilled",1997,An,60.0,en_crops_livestock_product.csv
Yield/Carcass Weight,"Meat of camels, fresh or chilled",1998,kg/An,150.0,en_crops_livestock_product.csv
Production,"Meat of camels, fresh or chilled",1998,t,9.0,en_crops_livestock_product.csv
Producing Animals/Slaughtered,"Meat of camels, fresh or chilled",1998,An,60.0,en_crops_livestock_product.csv
Yield/Carcass Weight,"Meat of camels, fresh or chilled",1999,kg/An,154.0,en_crops_livestock_product.csv
Production,"Meat of camels, fresh or chilled",1999,t,6.0,en_crops_livestock_product.csv
Producing Animals/Slaughtered,"Meat of camels, fresh or chilled",1999,An,39.0,en_crops_livestock_product.csv
Yield/Carcass Weight,"Meat of camels, fresh or chilled",2000,kg/An,146.0,en_crops_livestock_product.csv
Production,"Meat of camels, fresh or chilled",2000,t,7.0,en_crops_livestock_product.csv
Producing Animals/Slaughtered,"Meat of camels, fresh or chilled",2000,An,48.0,en_crops_livestock_product.csv
Yield/Carcass Weight,"Meat of camels, fresh or chilled",2001,kg/An,135.0,en_crops_livestock_product.csv
Production,"Meat of camels, fresh or chilled",2001,t,7.0,en_crops_livestock_product.csv
Producing Animals/Slaughtered,"Meat of camels, fresh or chilled",2001,An,52.0,en_crops_livestock_product.csv
Yield/Carcass Weight,"Meat of camels, fresh or chilled",2002,kg/An,150.0,en_crops_livestock_product.csv
Production,"Meat of camels, fresh or chilled",2002,t,9.0,en_crops_livestock_product.csv
Producing Animals/Slaughtered,"Meat of camels, fresh or chilled",2002,An,60.0,en_crops_livestock_product.csv
