element,item,year,unit,value,source
Production,Apricots,1984,t,14552.0,en_crops_livestock_product.csv
Area harvested,Apricots,1985,ha,2070.0,en_crops_livestock_product.csv
Yield,Apricots,1985,kg/ha,6557.5,en_crops_livestock_product.csv
Production,Apricots,1985,t,13574.0,en_crops_livestock_product.csv
Area harvested,Apricots,1986,ha,2080.0,en_crops_livestock_product.csv
Yield,Apricots,1986,kg/ha,6231.3,en_crops_livestock_product.csv
Production,Apricots,1986,t,12961.0,en_crops_livestock_product.csv
Area harvested,Apricots,1987,ha,2090.0,en_crops_livestock_product.csv
Yield,Apricots,1987,kg/ha,4117.7,en_crops_livestock_product.csv
Production,Apricots,1987,t,8606.0,en_crops_livestock_product.csv
Area harvested,Apricots,1988,ha,2090.0,en_crops_livestock_product.csv
Yield,Apricots,1988,kg/ha,3006.7,en_crops_livestock_product.csv
Production,Apricots,1988,t,6284.0,en_crops_livestock_product.csv
Area harvested,Apricots,1989,ha,2100.0,en_crops_livestock_product.csv
Yield,Apricots,1989,kg/ha,7385.2,en_crops_livestock_product.csv
Production,Apricots,1989,t,15509.0,en_crops_livestock_product.csv
Area harvested,Apricots,1990,ha,1000.0,en_crops_livestock_product.csv
Yield,Apricots,1990,kg/ha,10697.4,en_crops_livestock_product.csv
Production,Apricots,1990,t,10695.0,en_crops_livestock_product.csv
Area harvested,Apricots,1991,ha,1076.0,en_crops_livestock_product.csv
Yield,Apricots,1991,kg/ha,10659.1,en_crops_livestock_product.csv
Production,Apricots,1991,t,11464.0,en_crops_livestock_product.csv
Area harvested,Apricots,1992,ha,1184.0,en_crops_livestock_product.csv
Yield,Apricots,1992,kg/ha,10620.7,en_crops_livestock_product.csv
Production,Apricots,1992,t,12571.0,en_crops_livestock_product.csv
Area harvested,Apricots,1993,ha,711.0,en_crops_livestock_product.csv
Yield,Apricots,1993,kg/ha,10582.3,en_crops_livestock_product.csv
Production,Apricots,1993,t,7522.0,en_crops_livestock_product.csv
Area harvested,Apricots,1994,ha,658.0,en_crops_livestock_product.csv
Yield,Apricots,1994,kg/ha,10543.9,en_crops_livestock_product.csv
Production,Apricots,1994,t,6936.0,en_crops_livestock_product.csv
Area harvested,Apricots,1995,ha,1624.0,en_crops_livestock_product.csv
Yield,Apricots,1995,kg/ha,10505.5,en_crops_livestock_product.csv
Production,Apricots,1995,t,17063.0,en_crops_livestock_product.csv
Area harvested,Apricots,1996,ha,1282.0,en_crops_livestock_product.csv
Yield,Apricots,1996,kg/ha,10467.1,en_crops_livestock_product.csv
Production,Apricots,1996,t,13421.0,en_crops_livestock_product.csv
Area harvested,Apricots,1997,ha,1189.0,en_crops_livestock_product.csv
Yield,Apricots,1997,kg/ha,10428.7,en_crops_livestock_product.csv
Production,Apricots,1997,t,12396.0,en_crops_livestock_product.csv
Area harvested,Apricots,1998,ha,840.0,en_crops_livestock_product.csv
Yield,Apricots,1998,kg/ha,10390.3,en_crops_livestock_product.csv
Production,Apricots,1998,t,8728.0,en_crops_livestock_product.csv
Area harvested,Apricots,1999,ha,2186.0,en_crops_livestock_product.csv
Yield,Apricots,1999,kg/ha,10352.0,en_crops_livestock_product.csv
Production,Apricots,1999,t,22634.0,en_crops_livestock_product.csv
Area harvested,Apricots,2000,ha,1344.0,en_crops_livestock_product.csv
Yield,Apricots,2000,kg/ha,10313.6,en_crops_livestock_product.csv
Production,Apricots,2000,t,13866.0,en_crops_livestock_product.csv
Area harvested,Apricots,2001,ha,1087.0,en_crops_livestock_product.csv
Yield,Apricots,2001,kg/ha,10275.2,en_crops_livestock_product.csv
Production,Apricots,2001,t,11170.47,en_crops_livestock_product.csv
Area harvested,Apricots,2002,ha,595.0,en_crops_livestock_product.csv
Yield,Apricots,2002,kg/ha,10236.8,en_crops_livestock_product.csv
Production,Apricots,2002,t,6092.53,en_crops_livestock_product.csv
Area harvested,Apricots,2003,ha,1707.0,en_crops_livestock_product.csv
Yield,Apricots,2003,kg/ha,10198.4,en_crops_livestock_product.csv
Production,Apricots,2003,t,17408.0,en_crops_livestock_product.csv
Area harvested,Apricots,2004,ha,1548.0,en_crops_livestock_product.csv
Yield,Apricots,2004,kg/ha,10170.2,en_crops_livestock_product.csv
Production,Apricots,2004,t,15746.0,en_crops_livestock_product.csv
Area harvested,Apricots,2005,ha,1289.0,en_crops_livestock_product.csv
Yield,Apricots,2005,kg/ha,10152.0,en_crops_livestock_product.csv
Production,Apricots,2005,t,13090.0,en_crops_livestock_product.csv
Area harvested,Apricots,2006,ha,2487.0,en_crops_livestock_product.csv
Yield,Apricots,2006,kg/ha,10133.9,en_crops_livestock_product.csv
Production,Apricots,2006,t,25203.0,en_crops_livestock_product.csv
Area harvested,Apricots,2007,ha,1439.0,en_crops_livestock_product.csv
Yield,Apricots,2007,kg/ha,10115.8,en_crops_livestock_product.csv
Production,Apricots,2007,t,14553.0,en_crops_livestock_product.csv
Area harvested,Apricots,2008,ha,1516.0,en_crops_livestock_product.csv
Yield,Apricots,2008,kg/ha,10110.2,en_crops_livestock_product.csv
Production,Apricots,2008,t,15327.0,en_crops_livestock_product.csv
Area harvested,Apricots,2009,ha,2425.0,en_crops_livestock_product.csv
Yield,Apricots,2009,kg/ha,10065.2,en_crops_livestock_product.csv
Production,Apricots,2009,t,24410.0,en_crops_livestock_product.csv
Area harvested,Apricots,2010,ha,563.0,en_crops_livestock_product.csv
Yield,Apricots,2010,kg/ha,7804.6,en_crops_livestock_product.csv
Production,Apricots,2010,t,4394.0,en_crops_livestock_product.csv
Area harvested,Apricots,2011,ha,584.0,en_crops_livestock_product.csv
Yield,Apricots,2011,kg/ha,13746.6,en_crops_livestock_product.csv
Production,Apricots,2011,t,8028.0,en_crops_livestock_product.csv
Area harvested,Apricots,2012,ha,584.0,en_crops_livestock_product.csv
Yield,Apricots,2012,kg/ha,4975.3,en_crops_livestock_product.csv
Production,Apricots,2012,t,2905.57,en_crops_livestock_product.csv
Area harvested,Apricots,2013,ha,768.0,en_crops_livestock_product.csv
Yield,Apricots,2013,kg/ha,15881.9,en_crops_livestock_product.csv
Production,Apricots,2013,t,12202.37,en_crops_livestock_product.csv
Area harvested,Apricots,2014,ha,766.0,en_crops_livestock_product.csv
Yield,Apricots,2014,kg/ha,11216.4,en_crops_livestock_product.csv
Production,Apricots,2014,t,8590.4,en_crops_livestock_product.csv
Area harvested,Apricots,2015,ha,737.0,en_crops_livestock_product.csv
Yield,Apricots,2015,kg/ha,11767.4,en_crops_livestock_product.csv
Production,Apricots,2015,t,8669.06,en_crops_livestock_product.csv
Area harvested,Apricots,2016,ha,788.0,en_crops_livestock_product.csv
Yield,Apricots,2016,kg/ha,6670.2,en_crops_livestock_product.csv
Production,Apricots,2016,t,5257.36,en_crops_livestock_product.csv
Area harvested,Apricots,2017,ha,788.0,en_crops_livestock_product.csv
Yield,Apricots,2017,kg/ha,8228.4,en_crops_livestock_product.csv
Production,Apricots,2017,t,6484.0,en_crops_livestock_product.csv
